<NAME>
tie_mixers_reduce_params
</NAME>

<DESCRIPTION>
The previous candidate dramatically increased accuracy and expressivity by introducing a mid-circuit mixer that breaks the commutativity of the full 28-CZ complete graph, splitting it into a 16-edge half and a 12-edge half. However, it introduced two new parameters per block (`mid_ry` and `mid_rx`), bringing the total parameter count to 38 and limiting the parameter efficiency score.
    {"gate": "RX", "wire": 7, "param": "mid_rx"},

    # Second half of complete-graph CZ: matchings 5-7 (12 edges).
    {"gate": "CZ", "wires": [0, 5]},
    {"gate": "CZ", "wires": [1, 4]},
    {"gate": "CZ", "wires": [2, 7]},
    {"gate": "CZ", "wires": [3, 6]},

    {"gate": "CZ", "wires": [0, 6]},
    {"gate": "CZ", "wires": [1, 7]},
    {"gate": "CZ", "wires": [2, 4]},
    {"gate": "CZ", "wires": [3, 5]},

    {"gate": "CZ", "wires": [0, 7]},
    {"gate": "CZ", "wires": [1, 6]},
    {"gate": "CZ", "wires": [2, 5]},
    {"gate": "CZ", "wires": [3, 4]},

    # Output two-axis mixer: collective phase + non-diagonal rotation
    # converts encoded pairwise phases into Z-basis populations.
    {"gate": "RZ", "wire": 0, "param": "collective_rz"},
    {"gate": "RZ", "wire": 1, "param": "collective_rz"},
    {"gate": "RZ", "wire": 2, "param": "collective_rz"},
    {"gate": "RZ", "wire": 3, "param": "collective_rz"},
    {"gate": "RZ", "wire": 4, "param": "collective_rz"},
    {"gate": "RZ", "wire": 5, "param": "collective_rz"},
    {"gate": "RZ", "wire": 6, "param": "collective_rz"},
    {"gate": "RZ", "wire": 7, "param": "collective_rz"},

    {"gate": "RX", "wire": 0, "param": "collective_rx_out"},
    {"gate": "RX", "wire": 1, "param": "collective_rx_out"},
    {"gate": "RX", "wire": 2, "param": "collective_rx_out"},
    {"gate": "RX", "wire": 3, "param": "collective_rx_out"},
    {"gate": "RX", "wire": 4, "param": "collective_rx_out"},
    {"gate": "RX", "wire": 5, "param": "collective_rx_out"},
    {"gate": "RX", "wire": 6, "param": "collective_rx_out"},
    {"gate": "RX", "wire": 7, "param": "collective_rx_out"},
]
=======
ANSATZ_SPEC = [
    # Two-axis input mixer shared with mid-mixer to reduce parameters.
    {"gate": "RY", "wire": 0, "param": "mix_ry"},
    {"gate": "RY", "wire": 1, "param": "mix_ry"},
    {"gate": "RY", "wire": 2, "param": "mix_ry"},
    {"gate": "RY", "wire": 3, "param": "mix_ry"},
    {"gate": "RY", "wire": 4, "param": "mix_ry"},
    {"gate": "RY", "wire": 5, "param": "mix_ry"},
    {"gate": "RY", "wire": 6, "param": "mix_ry"},
    {"gate": "RY", "wire": 7, "param": "mix_ry"},

    {"gate": "RX", "wire": 0, "param": "mix_rx"},
    {"gate": "RX", "wire": 1, "param": "mix_rx"},
    {"gate": "RX", "wire": 2, "param": "mix_rx"},
    {"gate": "RX", "wire": 3, "param": "mix_rx"},
    {"gate": "RX", "wire": 4, "param": "mix_rx"},
    {"gate": "RX", "wire": 5, "param": "mix_rx"},
    {"gate": "RX", "wire": 6, "param": "mix_rx"},
    {"gate": "RX", "wire": 7, "param": "mix_rx"},

    # First half of complete-graph CZ: matchings 1-4 (16 edges).
    # These CZ gates commute; the mid-mixer below breaks this commutativity
    # with respect to the second half, doubling effective entangling depth.
    {"gate": "CZ", "wires": [0, 1]},
    {"gate": "CZ", "wires": [2, 3]},
    {"gate": "CZ", "wires": [4, 5]},
    {"gate": "CZ", "wires": [6, 7]},

    {"gate": "CZ", "wires": [0, 2]},
    {"gate": "CZ", "wires": [1, 3]},
    {"gate": "CZ", "wires": [4, 6]},
    {"gate": "CZ", "wires": [5, 7]},

    {"gate": "CZ", "wires": [0, 3]},
    {"gate": "CZ", "wires": [1, 2]},
    {"gate": "CZ", "wires": [4, 7]},
    {"gate": "CZ", "wires": [5, 6]},

    {"gate": "CZ", "wires": [0, 4]},
    {"gate": "CZ", "wires": [1, 5]},
    {"gate": "CZ", "wires": [2, 6]},
    {"gate": "CZ", "wires": [3, 7]},

    # Mid-circuit two-axis mixer: parameters are tied to the input mixer.
    # It dramatically increases the expressivity of the entangling block
    # without introducing additional parameters per block.
    {"gate": "RY", "wire": 0, "param": "mix_ry"},
    {"gate": "RY", "wire": 1, "param": "mix_ry"},
    {"gate": "RY", "wire": 2, "param": "mix_ry"},
    {"gate": "RY", "wire": 3, "param": "mix_ry"},
    {"gate": "RY", "wire": 4, "param": "mix_ry"},
    {"gate": "RY", "wire": 5, "param": "mix_ry"},
    {"gate": "RY", "wire": 6, "param": "mix_ry"},
    {"gate": "RY", "wire": 7, "param": "mix_ry"},

    {"gate": "RX", "wire": 0, "param": "mix_rx"},
    {"gate": "RX", "wire": 1, "param": "mix_rx"},
    {"gate": "RX", "wire": 2, "param": "mix_rx"},
    {"gate": "RX", "wire": 3, "param": "mix_rx"},
    {"gate": "RX", "wire": 4, "param": "mix_rx"},
    {"gate": "RX", "wire": 5, "param": "mix_rx"},
    {"gate": "RX", "wire": 6, "param": "mix_rx"},
    {"gate": "RX", "wire": 7, "param": "mix_rx"},

    # Second half of complete-graph CZ: matchings 5-7 (12 edges).
    {"gate": "CZ", "wires": [0, 5]},
    {"gate": "CZ", "wires": [1, 4]},
    {"gate": "CZ", "wires": [2, 7]},
    {"gate": "CZ", "wires": [3, 6]},

    {"gate": "CZ", "wires": [0, 6]},
    {"gate": "CZ", "wires": [1, 7]},
    {"gate": "CZ", "wires": [2, 4]},
    {"gate": "CZ", "wires": [3, 5]},

    {"gate": "CZ", "wires": [0, 7]},
    {"gate": "CZ", "wires": [1, 6]},
    {"gate": "CZ", "wires": [2, 5]},
    {"gate": "CZ", "wires": [3, 4]},

    # Output two-axis mixer: collective phase + non-diagonal rotation
    # converts encoded pairwise phases into Z-basis populations.
    {"gate": "RZ", "wire": 0, "param": "out_rz"},
    {"gate": "RZ", "wire": 1, "param": "out_rz"},
    {"gate": "RZ", "wire": 2, "param": "out_rz"},
    {"gate": "RZ", "wire": 3, "param": "out_rz"},
    {"gate": "RZ", "wire": 4, "param": "out_rz"},
    {"gate": "RZ", "wire": 5, "param": "out_rz"},
    {"gate": "RZ", "wire": 6, "param": "out_rz"},
    {"gate": "RZ", "wire": 7, "param": "out_rz"},

    {"gate": "RX", "wire": 0, "param": "out_rx"},
    {"gate": "RX", "wire": 1, "param": "out_rx"},
    {"gate": "RX", "wire": 2, "param": "out_rx"},
    {"gate": "RX", "wire": 3, "param": "out_rx"},
    {"gate": "RX", "wire": 4, "param": "out_rx"},
    {"gate": "RX", "wire": 5, "param": "out_rx"},
    {"gate": "RX", "wire": 6, "param": "out_rx"},
    {"gate": "RX", "wire": 7, "param": "out_rx"},
]
>>>>>>> REPLACE

</DIFF>
